rider_id,rider_name,store_id,shift,vehicle_type,employment_type,rating
118,Nitin Pal,19,Evening,Bike,Part-Time,4.8
119,Karan Patel,20,Evening,Bike,Full-Time,3.9
120,Mohit Saini,8,Afternoon,Bike,Part-Time,4.9
121,Rohit Kumar,1,Morning,Bike,Part-Time,4.9
122,Nitin Thakur,10,Evening,Scooter,Part-Time,4.3
123,Ankit Pandey,5,Afternoon,Bike,Full-Time,4.9
124,Ajay Saini,20,Evening,Bike,Part-Time,4.9
125,Amit Pal,4,Morning,Bike,Part-Time,4.6
126,Pankaj Thakur,10,Afternoon,EV,Part-Time,4.6
127,Vikas Jha,20,Morning,EV,Part-Time,4.4
128,Abhishek Saini,8,Evening,EV,Part-Time,4.7
129,Pankaj Gupta,10,Afternoon,Scooter,Full-Time,4.6
130,Sachin Gupta,14,Evening,EV,Full-Time,4.3
131,Amit Kumar,14,Morning,EV,Part-Time,4.9
132,Arjun Singh,14,Evening,EV,Part-Time,4.7
133,Abhishek Kumar,9,Evening,EV,Part-Time,4.8
134,Arjun Pandey,17,Morning,Bike,Part-Time,4.4
135,Ankit Singh,12,Morning,Bike,Full-Time,4.3
136,Vikas Saini,2,Afternoon,Scooter,Part-Time,4.3
137,Ajay Mishra,1,Morning,Scooter,Part-Time,4.9
138,Ajay Thakur,10,Morning,Scooter,Part-Time,4.7
139,Sumit Jha,20,Morning,Scooter,Part-Time,4.4
140,Sachin Patel,18,Evening,EV,Full-Time,4.9
141,Pankaj Kumar,15,Evening,Bike,Full-Time,4.7
142,Deepak Verma,3,Afternoon,EV,Full-Time,5.0
143,Vivek Sharma,19,Morning,Scooter,Full-Time,4.3
144,Vikas Mishra,9,Evening,Bike,Part-Time,4.4
145,Karan Gupta,10,Afternoon,Bike,Part-Time,4.1
146,Ankit Patel,12,Evening,Scooter,Full-Time,5.0
147,Mohit Verma,17,Evening,EV,Part-Time,4.5
148,Ankit Chauhan,12,Evening,Scooter,Part-Time,4.1
149,Deepak Pal,19,Morning,Bike,Part-Time,4.4
150,Nitin Jha,20,Evening,Scooter,Full-Time,5.0
151,Vivek Mishra,5,Morning,EV,Full-Time,4.3
152,Karan Pandey,8,Morning,EV,Part-Time,4.7
153,Nitin Meena,5,Afternoon,Scooter,Full-Time,4.8
154,Rohit Chauhan,13,Afternoon,EV,Part-Time,4.1
155,Pankaj Kumar,16,Afternoon,EV,Part-Time,4.2
156,Ajay Jha,15,Morning,Scooter,Part-Time,4.3
157,Sumit Pandey,4,Afternoon,Bike,Part-Time,4.2
158,Ashish Verma,7,Afternoon,Bike,Part-Time,4.4
159,Manish Meena,3,Afternoon,Scooter,Full-Time,4.0
160,Manish Mishra,19,Morning,Scooter,Full-Time,4.7
161,Ashish Singh,13,Morning,Scooter,Full-Time,4.3
162,Mohit Kumar,7,Evening,EV,Full-Time,4.6
163,Deepak Gupta,15,Afternoon,Bike,Full-Time,4.2
164,Nitin Sharma,9,Morning,Bike,Full-Time,4.6
165,Amit Singh,6,Morning,Scooter,Full-Time,4.1
166,Ashish Yadav,13,Morning,Scooter,Full-Time,4.5
167,Sachin Thakur,4,Morning,EV,Part-Time,4.6
168,Sandeep Verma,18,Evening,EV,Part-Time,3.8
169,Arjun Pal,14,Evening,Scooter,Part-Time,4.4
170,Sachin Thakur,5,Afternoon,Bike,Part-Time,4.2
171,Amit Kumar,16,Evening,Scooter,Full-Time,4.9
172,Ankit Gupta,18,Evening,Bike,Part-Time,4.1
173,Sachin Thakur,10,Evening,Scooter,Full-Time,4.8
174,Arjun Jha,13,Evening,EV,Full-Time,3.8
175,Gaurav Kumar,4,Morning,Scooter,Full-Time,4.5
176,Amit Patel,20,Evening,EV,Part-Time,4.5
177,Deepak Pal,19,Afternoon,Scooter,Part-Time,3.9
178,Vivek Pandey,10,Morning,EV,Full-Time,4.7
179,Rahul Yadav,16,Afternoon,Bike,Part-Time,4.5
180,Karan Jha,15,Morning,Scooter,Part-Time,4.1
181,Sachin Pandey,6,Evening,EV,Part-Time,4.0
182,Vivek Pandey,19,Afternoon,Scooter,Full-Time,4.7
183,Manish Kumar,10,Afternoon,Bike,Part-Time,4.3
184,Sandeep Pandey,11,Evening,Scooter,Part-Time,4.3
185,Vivek Chauhan,19,Morning,Scooter,Full-Time,4.9
186,Arjun Pandey,3,Afternoon,EV,Full-Time,4.5
187,Sachin Patel,15,Afternoon,Scooter,Part-Time,4.0
188,Sachin Saini,2,Afternoon,EV,Part-Time,4.5
189,Rohit Thakur,2,Afternoon,EV,Part-Time,4.1
190,Vikas Mishra,16,Morning,EV,Full-Time,4.8
191,Pankaj Pal,6,Morning,Scooter,Full-Time,4.0
192,Nitin Gupta,18,Evening,EV,Part-Time,5.0
193,Sumit Patel,5,Evening,Scooter,Part-Time,4.2
194,Abhishek Singh,12,Evening,EV,Full-Time,4.8
195,Ashish Saini,19,Afternoon,EV,Full-Time,4.3
196,Nitin Chauhan,10,Afternoon,EV,Full-Time,4.0
197,Vikas Verma,14,Evening,Bike,Part-Time,3.9
198,Karan Meena,9,Evening,Scooter,Part-Time,4.8
199,Ajay Verma,16,Afternoon,Scooter,Part-Time,4.4
200,Manish Singh,19,Evening,EV,Part-Time,3.9
